unix_time,counts,counts_err,count_rates,count_rates_err
1670785511.00000,17.00000,4.12311,443.64210,107.59901
1670785523.00984,20.00000,4.47214,535.74983,119.79730
1670785535.01967,31.00000,5.56776,858.27015,154.14987
1670785547.02951,29.00000,5.38516,776.16044,144.12938
1670785559.03934,38.00000,6.16441,1011.31360,164.05673
1670785571.04918,27.00000,5.19615,718.84855,138.34247
1670785583.05902,29.00000,5.38516,775.20849,143.95260
1670785595.06885,28.00000,5.29150,737.31553,139.33954
1670785607.07869,24.00000,4.89898,650.43610,132.76971
1670785619.08853,30.00000,5.47723,811.32742,148.12744
1670785631.09836,40.00000,6.32456,1030.18321,162.88627
1670785643.10820,36.00000,6.00000,956.18854,159.36476
1670785655.11803,19.00000,4.35890,500.27035,114.76989
1670785667.12787,43.00000,6.55744,1129.85274,172.30093
1670785679.13771,35.00000,5.91608,898.89814,151.94152
1670785691.14754,31.00000,5.56776,811.09560,145.67707
1670785703.15738,31.00000,5.56776,796.90299,143.12800
1670785715.16721,39.00000,6.24500,986.18762,157.91640
1670785727.17705,23.00000,4.79583,578.91973,120.71311
1670785739.18689,35.00000,5.91608,884.33285,149.47953
1670785751.19672,26.00000,5.09902,661.08055,129.64856
1670785763.20656,42.00000,6.48074,1065.87036,164.46737
1670785775.21639,29.00000,5.38516,741.48477,137.69027
1670785787.22623,35.00000,5.91608,897.83278,151.76144
1670785799.23607,26.00000,5.09902,655.27053,128.50912
1670785811.24590,39.00000,6.24500,1001.60919,160.38583
1670785823.25574,43.00000,6.55744,1084.76772,165.42553
1670785835.26557,46.00000,6.78233,1151.70464,169.80958
1670785847.27541,36.00000,6.00000,908.40817,151.40136
1670785859.28525,34.00000,5.83095,838.58667,143.81643
1670785871.29508,38.00000,6.16441,949.32257,154.00046
1670785883.30492,28.00000,5.29150,712.12693,134.57934
1670785895.31475,45.00000,6.70820,1119.95662,166.95328
1670785907.32459,38.00000,6.16441,936.28097,151.88483
1670785919.33443,43.00000,6.55744,1091.19444,166.40559
1670785931.34426,43.00000,6.55744,1078.21560,164.42634
1670785943.35410,45.00000,6.70820,1106.32555,164.92128
1670785955.36393,54.00000,7.34847,1328.98183,180.85152
1670785967.37377,35.00000,5.91608,867.50213,146.63462
1670785979.38361,37.00000,6.08276,934.48368,153.62817
1670785991.39344,54.00000,7.34847,1308.10213,178.01015
1670786003.40328,46.00000,6.78233,1112.13372,163.97517
1670786015.41312,43.00000,6.55744,1050.38306,160.18191
1670786027.42295,42.00000,6.48074,1037.51978,160.09278
1670786039.43279,66.00000,8.12404,1588.50971,195.53203
1670786051.44262,49.00000,7.00000,1183.53823,169.07689
1670786063.45246,50.00000,7.07107,1266.16882,179.06331
1670786075.46230,61.00000,7.81025,1479.14874,189.38559
1670786087.47213,52.00000,7.21110,1284.08386,178.07039
1670786099.48197,36.00000,6.00000,882.94889,147.15815
1670786111.49180,35.00000,5.91608,866.30150,146.43168
1670786123.50164,51.00000,7.14143,1230.70448,172.33310
1670786135.51148,44.00000,6.63325,1088.95697,164.16644
1670786147.52131,54.00000,7.34847,1331.68194,181.21896
1670786159.53115,35.00000,5.91608,855.35249,144.58096
1670786171.54098,44.00000,6.63325,1051.17097,158.46999
1670786183.55082,56.00000,7.48331,1335.17733,178.42058
1670786195.56066,60.00000,7.74597,1441.81459,186.13746
1670786207.57049,57.00000,7.54983,1387.35532,183.75970
1670786219.58033,38.00000,6.16441,891.01333,144.54145
1670786231.59016,52.00000,7.21110,1250.46947,173.40892
1670786243.60000,45.00000,6.70820,1070.47679,159.57726
1670786255.60984,44.00000,6.63325,1055.65706,159.14629
1670786267.61967,42.00000,6.48074,994.90237,153.51677
1670786279.62951,55.00000,7.41620,1317.62106,177.66799
1670786291.63934,53.00000,7.28011,1281.08509,175.97057
1670786303.64918,62.00000,7.87401,1474.55853,187.26912
1670786315.65902,56.00000,7.48331,1307.69491,174.74808
1670786327.66885,43.00000,6.55744,1052.15748,160.45251
1670786339.67869,45.00000,6.70820,1108.49773,165.24508
1670786351.68852,38.00000,6.16441,897.14407,145.53599
1670786363.69836,60.00000,7.74597,1479.73094,191.03244
1670786375.70820,55.00000,7.41620,1343.44028,181.14945
1670786387.71803,50.00000,7.07107,1210.84998,171.24005
1670786399.72787,58.00000,7.61577,1432.55493,188.10368
1670786411.73770,44.00000,6.63325,1061.17707,159.97846
1670786423.74754,47.00000,6.85565,1175.22460,171.42413
1670786435.75738,51.00000,7.14143,1237.39419,173.26984
1670786447.76721,60.00000,7.74597,1468.80323,189.62168
1670786459.77705,36.00000,6.00000,910.89234,151.81539
1670786471.78689,36.00000,6.00000,891.56789,148.59465
1670786483.79672,50.00000,7.07107,1218.43590,172.31286
1670786495.80656,63.00000,7.93725,1513.62581,190.69893
1670786507.81639,52.00000,7.21110,1266.07804,175.57343
1670786519.82623,55.00000,7.41620,1347.17683,181.65329
1670786531.83607,58.00000,7.61577,1470.86432,193.13395
1670786543.84590,55.00000,7.41620,1355.79388,182.81521
1670786555.85574,40.00000,6.32456,991.36748,156.74896
1670786567.86557,46.00000,6.78233,1143.78143,168.64137
1670786579.87541,37.00000,6.08276,921.87008,151.55451
1670786591.88525,43.00000,6.55744,1053.69082,160.68634
1670786603.89508,35.00000,5.91608,873.44797,147.63965
1670786615.90492,51.00000,7.14143,1242.53130,173.98918
1670786627.91475,63.00000,7.93725,1581.96222,199.30851
1670786639.92459,51.00000,7.14143,1257.33481,176.06209
1670786651.93443,57.00000,7.54983,1409.49936,186.69275
1670786663.94426,67.00000,8.18535,1682.33467,205.52989
1670786675.95410,40.00000,6.32456,988.90300,156.35929
1670786687.96393,54.00000,7.34847,1336.56265,181.88314
1670786699.97377,57.00000,7.54983,1368.87286,181.31164
1670786711.98361,50.00000,7.07107,1244.65352,176.02059
1670786723.99344,53.00000,7.28011,1283.26852,176.27049
1670786736.00328,54.00000,7.34847,1344.48417,182.96112
1670786748.01311,46.00000,6.78233,1118.87540,164.96918
1670786760.02295,55.00000,7.41620,1374.30712,185.31153
1670786772.03279,51.00000,7.14143,1254.09738,175.60876
1670786784.04262,44.00000,6.63325,1095.02718,165.08156
1670786796.05246,36.00000,6.00000,864.54335,144.09056
1670786808.06229,45.00000,6.70820,1112.16504,165.79178
1670786820.07213,44.00000,6.63325,1079.36347,162.72017
1670786832.08197,66.00000,8.12404,1585.92635,195.21404
1670786844.09180,62.00000,7.87401,1494.81882,189.84218
1670786856.10164,61.00000,7.81025,1448.13136,185.41422
1670786868.11147,50.00000,7.07107,1203.35247,170.17974
1670786880.12131,55.00000,7.41620,1341.95474,180.94914
1670786892.13115,50.00000,7.07107,1198.67641,169.51844
1670786904.14098,43.00000,6.55744,1071.34985,163.37932
1670786916.15082,37.00000,6.08276,908.23364,149.31269
1670786928.16066,48.00000,6.92820,1178.92773,170.16356
1670786940.17049,54.00000,7.34847,1324.71200,180.27047
1670786952.18033,44.00000,6.63325,1086.92108,163.85952
1670786964.19016,45.00000,6.70820,1124.96966,167.70057
1670786976.20000,60.00000,7.74597,1495.47341,193.06479
1670786988.20984,39.00000,6.24500,979.91482,156.91195
1670787000.21967,61.00000,7.81025,1542.86959,197.54421
1670787012.22951,42.00000,6.48074,1080.55251,166.73287
1670787024.23934,41.00000,6.40312,1070.08203,167.11874
1670787036.24918,37.00000,6.08276,977.84964,160.75749
1670787048.25902,42.00000,6.48074,1104.36656,170.40746
1670787060.26885,44.00000,6.63325,1122.59449,169.23749
1670787072.27869,49.00000,7.00000,1315.40184,187.91455
1670787084.28853,44.00000,6.63325,1170.38230,176.44177
1670787096.29836,44.00000,6.63325,1188.54635,179.18010
1670787108.30820,49.00000,7.00000,1309.06506,187.00929
1670787120.31803,46.00000,6.78233,1217.45501,179.50395
1670787132.32787,44.00000,6.63325,1160.09397,174.89075
1670787144.33770,49.00000,7.00000,1278.02694,182.57528
1670787156.34754,46.00000,6.78233,1194.67293,176.14491
1670787168.35738,61.00000,7.81025,1541.46084,197.36384
1670787180.36721,44.00000,6.63325,1112.37030,167.69613
1670787192.37705,45.00000,6.70820,1160.38250,172.97961
1670787204.38688,47.00000,6.85565,1233.93803,179.98836
1670787216.39672,55.00000,7.41620,1464.39559,197.45906
1670787228.40656,49.00000,7.00000,1272.70081,181.81440
1670787240.41639,56.00000,7.48331,1420.40041,189.80899
1670787252.42623,48.00000,6.92820,1210.66987,174.74514
1670787264.43607,47.00000,6.85565,1272.08986,185.55338
1670787276.44590,61.00000,7.81025,1632.71121,209.04725
1670787288.45574,55.00000,7.41620,1469.04339,198.08577
1670787300.46557,54.00000,7.34847,1438.41849,195.74396
1670787312.47541,49.00000,7.00000,1324.78482,189.25497
1670787324.48525,57.00000,7.54983,1593.48324,211.06201
1670787336.49508,72.00000,8.48528,1941.17637,228.76983
1670787348.50492,83.00000,9.11043,2302.94235,252.78076
1670787360.51475,65.00000,8.06226,1846.10399,228.98102
1670787372.52459,97.00000,9.84886,2758.78256,280.11193
1670787384.53443,109.00000,10.44031,3070.17783,294.06970
1670787396.54426,111.00000,10.53565,3168.40091,300.73131
1670787408.55410,128.00000,11.31371,3547.12926,313.52489
1670787420.56393,122.00000,11.04536,3404.05158,308.18835
1670787432.57377,78.00000,8.83176,2178.01652,246.61181
1670787444.58361,92.00000,9.59166,2549.28645,265.78148
1670787456.59344,94.00000,9.69536,2611.12302,269.31678
1670787468.60328,73.00000,8.54400,1983.02018,232.09496
1670787480.61312,70.00000,8.36660,1869.08618,223.39853
1670787492.62295,74.00000,8.60233,1984.72578,230.71969
1670787504.63279,76.00000,8.71780,2013.43559,230.95690
1670787516.64262,60.00000,7.74597,1596.65675,206.12750
1670787528.65246,66.00000,8.12404,1766.68680,217.46411
1670787540.66230,72.00000,8.48528,1903.18684,224.29272
1670787552.67213,76.00000,8.71780,2013.40409,230.95329
1670787564.68197,71.00000,8.42615,1900.73634,225.57590
1670787576.69180,74.00000,8.60233,1916.98916,222.84546
1670787588.70164,67.00000,8.18535,1704.99407,208.29818
1670787600.71147,63.00000,7.93725,1645.61796,207.32837
1670787612.72131,69.00000,8.30662,1819.75737,219.07304
1670787624.73115,71.00000,8.42615,1862.62073,221.05241
1670787636.74098,73.00000,8.54400,1850.27502,216.55831
1670787648.75082,58.00000,7.61577,1470.29648,193.05939
1670787660.76066,62.00000,7.87401,1570.55616,199.46083
1670787672.77049,64.00000,8.00000,1632.55208,204.06901
1670787684.78033,58.00000,7.61577,1526.47140,200.43551
1670787696.79016,39.00000,6.24500,1096.29711,175.54803
1670787708.80000,57.00000,7.54983,1649.36815,218.46415
1670787720.80984,45.00000,6.70820,1327.60408,197.90753
1670787732.81967,67.00000,8.18535,2048.00555,250.20370
1670787744.82951,50.00000,7.07107,1507.82622,213.23883
1670787756.83934,56.00000,7.48331,1776.77056,237.43095
1670787768.84918,37.00000,6.08276,1140.06218,187.42507
1670787780.85902,60.00000,7.74597,1792.38770,231.39626
1670787792.86885,48.00000,6.92820,1463.81490,211.28348
1670787804.87869,49.00000,7.00000,1458.83420,208.40489
1670787816.88853,48.00000,6.92820,1448.22665,209.03351
1670787828.89836,55.00000,7.41620,1634.35914,220.37694
1670787840.90820,53.00000,7.28011,1542.51556,211.88081
1670787852.91803,50.00000,7.07107,1462.79147,206.86995
1670787864.92787,48.00000,6.92820,1349.75243,194.81998
1670787876.93771,44.00000,6.63325,1242.57074,187.32459
1670787888.94754,45.00000,6.70820,1244.41739,185.50679
1670787900.95738,56.00000,7.48331,1571.69230,210.02622
1670787912.96721,65.00000,8.06226,1797.24969,222.92139
1670787924.97705,57.00000,7.54983,1572.94498,208.34165
1670787936.98689,44.00000,6.63325,1199.73416,180.86673
1670787948.99672,48.00000,6.92820,1281.11673,184.91327
1670787961.00656,64.00000,8.00000,1689.89268,211.23659
1670787973.01639,40.00000,6.32456,1087.44710,171.94048
1670787985.02623,44.00000,6.63325,1209.46700,182.33401
1670787997.03607,37.00000,6.08276,972.66926,159.90584
1670788009.04590,49.00000,7.00000,1353.55171,193.36453
1670788021.05574,55.00000,7.41620,1502.76438,202.63271
1670788033.06557,50.00000,7.07107,1342.95065,189.92190
1670788045.07541,37.00000,6.08276,999.24378,164.27467
1670788057.08525,48.00000,6.92820,1289.63960,186.14344
1670788069.09508,44.00000,6.63325,1209.61756,182.35671
1670788081.10492,41.00000,6.40312,1116.22834,174.32558
1670788093.11475,41.00000,6.40312,1100.42388,171.85734
