unix_time,counts,counts_err,count_rates,count_rates_err
1670791303.00000,1028.00000,32.06244,23875.20632,744.64723
1670791315.03422,1049.00000,32.38827,24491.33672,756.17923
1670791327.06844,973.00000,31.19295,22904.09833,734.27168
1670791339.10266,1046.00000,32.34192,24973.07723,772.15808
1670791351.13688,989.00000,31.44837,24123.95498,767.09714
1670791363.17110,974.00000,31.20897,23436.03169,750.93889
1670791375.20532,1005.00000,31.70173,24299.41712,766.50118
1670791387.23954,1015.00000,31.85906,24418.98169,766.46888
1670791399.27376,974.00000,31.20897,23341.63868,747.91435
1670791411.30799,962.00000,31.01612,23863.48104,769.38951
1670791423.34221,1014.00000,31.84337,23814.60283,747.86699
1670791435.37643,1021.00000,31.95309,24483.56248,766.23456
1670791447.41065,1004.00000,31.68596,23642.89677,746.16321
1670791459.44487,964.00000,31.04835,22688.27595,730.74016
1670791471.47909,1037.00000,32.20248,25760.03096,799.93924
1670791483.51331,954.00000,30.88689,22944.03686,742.84062
1670791495.54753,978.00000,31.27299,24067.29138,769.58712
1670791507.58175,992.00000,31.49603,23945.32729,760.26490
1670791519.61597,998.00000,31.59114,23597.45848,746.96450
1670791531.65019,1021.00000,31.95309,24074.95176,753.44673
1670791543.68441,1011.00000,31.79623,24249.96793,762.66812
1670791555.71863,999.00000,31.60696,24220.03480,766.28799
1670791567.75285,1051.00000,32.41913,25348.09502,781.88696
1670791579.78707,1056.00000,32.49615,25118.31921,772.96284
1670791591.82129,993.00000,31.51190,23652.31015,750.58338
1670791603.85551,1024.00000,32.00000,24933.94190,779.18568
1670791615.88973,1024.00000,32.00000,25082.67697,783.83366
1670791627.92395,1013.00000,31.82766,24011.79388,754.43162
1670791639.95817,1022.00000,31.96873,25234.64142,789.35377
1670791651.99239,1076.00000,32.80244,27043.61382,824.43912
1670791664.02662,1057.00000,32.51154,26269.65343,808.01021
1670791676.06084,1050.00000,32.40370,25496.14477,786.82811
1670791688.09506,1081.00000,32.87856,26777.71058,814.44282
1670791700.12928,1040.00000,32.24903,25348.38699,786.02011
1670791712.16350,1012.00000,31.81195,24549.42579,771.70459
1670791724.19772,1011.00000,31.79623,24783.48255,779.44730
1670791736.23194,1058.00000,32.52691,25744.71702,791.48974
1670791748.26616,1079.00000,32.84814,26372.04431,802.84753
1670791760.30038,1048.00000,32.37283,25669.67467,792.93890
1670791772.33460,1040.00000,32.24903,25004.08572,775.34378
1670791784.36882,1090.00000,33.01515,26973.45604,817.00243
1670791796.40304,999.00000,31.60696,24646.72503,779.78787
1670791808.43726,1032.00000,32.12476,25193.54850,784.24091
1670791820.47148,985.00000,31.38471,24133.71464,768.96409
1670791832.50570,995.00000,31.54362,24328.05829,771.25130
1670791844.53992,1064.00000,32.61901,25756.49178,789.61592
1670791856.57414,1064.00000,32.61901,25919.47562,794.61251
1670791868.60837,1030.00000,32.09361,25225.66596,786.00268
1670791880.64259,1061.00000,32.57299,25471.53166,781.98310
1670791892.67681,1067.00000,32.66497,26027.21777,796.79305
1670791904.71103,1128.00000,33.58571,27315.45619,813.30587
1670791916.74525,1039.00000,32.23352,24702.83881,766.37105
1670791928.77947,1113.00000,33.36165,26659.83148,799.11598
1670791940.81369,1050.00000,32.40370,25588.38645,789.67475
1670791952.84791,1076.00000,32.80244,26215.75780,799.20148
1670791964.88213,1126.00000,33.55592,27913.37514,831.84643
1670791976.91635,1073.00000,32.75668,26471.94811,808.13896
1670791988.95057,1081.00000,32.87856,27682.99011,841.97685
1670792000.98479,1192.00000,34.52535,29421.46151,852.16975
1670792013.01901,1138.00000,33.73426,28683.34338,850.27349
1670792025.05323,1112.00000,33.34666,28122.90177,843.34978
1670792037.08745,1155.00000,33.98529,28867.34152,849.40693
1670792049.12167,1139.00000,33.74907,29452.54997,872.69209
1670792061.15589,1192.00000,34.52535,30775.83229,891.39805
1670792073.19011,1212.00000,34.81379,32172.30279,924.12525
1670792085.22433,1180.00000,34.35113,30660.10982,892.55030
1670792097.25855,1192.00000,34.52535,30695.06856,889.05879
1670792109.29278,1288.00000,35.88872,33981.96941,946.87056
1670792121.32700,1272.00000,35.66511,33672.18785,944.12127
1670792133.36122,1253.00000,35.39774,35047.86350,990.11585
1670792145.39544,1303.00000,36.09709,36798.62250,1019.43456
1670792157.42966,1321.00000,36.34556,36709.21503,1010.00538
1670792169.46388,1312.00000,36.22154,37080.57116,1023.71602
1670792181.49810,1362.00000,36.90528,38165.26183,1034.14085
1670792193.53232,1310.00000,36.19392,36425.59969,1006.40101
1670792205.56654,1310.00000,36.19392,36116.23743,997.85365
1670792217.60076,1333.00000,36.51027,36520.23018,1000.27274
1670792229.63498,1303.00000,36.09709,38090.85041,1055.23323
1670792241.66920,1282.00000,35.80503,37223.62492,1039.62006
1670792253.70342,1286.00000,35.86084,36813.49762,1026.56534
1670792265.73764,1359.00000,36.86462,39320.05722,1066.60696
1670792277.77186,1342.00000,36.63332,37474.71700,1022.96813
1670792289.80608,1305.00000,36.12478,37171.66496,1028.97958
1670792301.84030,1331.00000,36.48287,37614.08408,1031.00664
1670792313.87453,1364.00000,36.93237,40036.18314,1084.04044
1670792325.90875,1324.00000,36.38681,38349.10365,1053.92868
1670792337.94297,1292.00000,35.94440,39032.94989,1085.92571
1670792349.97719,1401.00000,37.42993,41423.66828,1106.69892
1670792362.01141,1361.00000,36.89173,38977.90308,1056.54843
1670792374.04563,1403.00000,37.45664,41239.46175,1100.99197
1670792386.07985,1398.00000,37.38984,41530.80277,1110.75107
1670792398.11407,1339.00000,36.59235,40410.60010,1104.34562
1670792410.14829,1436.00000,37.89459,44281.59237,1168.54653
1670792422.18251,1395.00000,37.34970,42715.87532,1143.67389
1670792434.21673,1493.00000,38.63936,45287.09792,1172.04581
1670792446.25095,1448.00000,38.05260,45067.06732,1184.33624
1670792458.28517,1437.00000,37.90778,45530.51151,1201.08611
1670792470.31939,1508.00000,38.83298,47866.25063,1232.61866
1670792482.35361,1433.00000,37.85499,45403.88135,1199.41613
1670792494.38783,1451.00000,38.09199,48153.78955,1264.14463
1670792506.42205,1529.00000,39.10243,50782.95942,1298.71622
1670792518.45627,1464.00000,38.26225,48605.31522,1270.32026
1670792530.49049,1511.00000,38.87158,50112.28233,1289.17522
1670792542.52471,1116.00000,33.40659,37617.40895,1126.04768
1670792554.55893,1470.00000,38.34058,47404.96848,1236.41765
1670792566.59316,1596.00000,39.94997,52278.80332,1308.60687
1670792578.62738,1579.00000,39.73663,54378.67586,1368.47719
1670792590.66160,1572.00000,39.64846,54790.51340,1381.90790
1670792602.69582,1506.00000,38.80722,52190.66500,1344.87012
1670792614.73004,1488.00000,38.57460,51651.50402,1339.00287
1670792626.76426,1601.00000,40.01250,58078.58141,1451.51101
1670792638.79848,1634.00000,40.42277,57109.55029,1412.80660
1670792650.83270,1653.00000,40.65710,61283.88937,1507.33538
1670792662.86692,1617.00000,40.21194,60544.68507,1505.63955
1670792674.90114,1687.00000,41.07311,64829.64364,1578.39644
1670792686.93536,1658.00000,40.71855,61766.56152,1516.91471
1670792698.96958,1695.00000,41.17038,66926.15555,1625.59003
1670792711.00380,1773.00000,42.10701,72472.81232,1721.15803
1670792723.03802,1739.00000,41.70132,70846.89337,1698.91253
1670792735.07224,1732.00000,41.61730,73319.84921,1761.76355
1670792747.10646,1760.00000,41.95235,75994.73412,1811.45340
1670792759.14068,1777.00000,42.15448,78133.26348,1853.49855
1670792771.17491,1775.00000,42.13075,75970.86946,1803.21669
1670792783.20913,1812.00000,42.56759,78779.43102,1850.69028
