unix_time,counts,counts_err,count_rates,count_rates_err
1670785511.00000,48.00000,6.92820,1153.92715,166.55504
1670785523.00984,38.00000,6.16441,965.58724,156.63893
1670785535.01967,41.00000,6.40312,1008.92902,157.56824
1670785547.02951,36.00000,6.00000,892.70005,148.78334
1670785559.03934,54.00000,7.34847,1349.13812,183.59444
1670785571.04918,52.00000,7.21110,1246.53160,172.86283
1670785583.05902,34.00000,5.83095,835.90448,143.35644
1670785595.06885,45.00000,6.70820,1096.23630,163.41726
1670785607.07869,47.00000,6.85565,1161.61146,169.43845
1670785619.08853,47.00000,6.85565,1178.03901,171.83465
1670785631.09836,54.00000,7.34847,1296.93133,176.49000
1670785643.10820,55.00000,7.41620,1322.75938,178.36084
1670785655.11803,41.00000,6.40312,974.14429,152.13578
1670785667.12787,42.00000,6.48074,1024.80280,158.13051
1670785679.13771,55.00000,7.41620,1311.65817,176.86395
1670785691.14754,57.00000,7.54983,1409.83536,186.73726
1670785703.15738,52.00000,7.21110,1261.69305,174.96534
1670785715.16721,66.00000,8.12404,1585.18655,195.12298
1670785727.17705,42.00000,6.48074,1016.87967,156.90794
1670785739.18689,54.00000,7.34847,1299.49892,176.83940
1670785751.19672,50.00000,7.07107,1199.45007,169.62786
1670785763.20656,57.00000,7.54983,1365.84370,180.91042
1670785775.21639,46.00000,6.78233,1077.73410,158.90322
1670785787.22623,66.00000,8.12404,1595.11685,196.34531
1670785799.23607,48.00000,6.92820,1163.11480,167.88116
1670785811.24590,48.00000,6.92820,1134.98919,163.82158
1670785823.25574,38.00000,6.16441,916.70848,148.70975
1670785835.26557,50.00000,7.07107,1209.96868,171.11541
1670785847.27541,47.00000,6.85565,1126.94757,164.38220
1670785859.28525,44.00000,6.63325,1014.38975,152.92501
1670785871.29508,55.00000,7.41620,1302.95586,175.69053
1670785883.30492,33.00000,5.74456,767.23460,133.55840
1670785895.31475,51.00000,7.14143,1215.34595,170.18247
1670785907.32459,63.00000,7.93725,1479.62984,186.41584
1670785919.33443,51.00000,7.14143,1211.95479,169.70762
1670785931.34426,49.00000,7.00000,1168.37188,166.91027
1670785943.35410,52.00000,7.21110,1225.33857,169.92389
1670785955.36393,57.00000,7.54983,1317.69105,174.53244
1670785967.37377,48.00000,6.92820,1124.10149,162.25008
1670785979.38361,52.00000,7.21110,1222.64250,169.55001
1670785991.39344,74.00000,8.60233,1720.44755,199.99797
1670786003.40328,53.00000,7.28011,1259.80670,173.04776
1670786015.41312,56.00000,7.48331,1308.71947,174.88500
1670786027.42295,59.00000,7.68115,1368.70429,178.19012
1670786039.43279,72.00000,8.48528,1678.53746,197.81754
