unix_time,counts,counts_err,count_rates,count_rates_err
1670802884.00000,1148.00000,33.88215,16524.27431,487.69854
1670802896.01311,1223.00000,34.97142,17816.05287,509.44613
1670802908.02623,1218.00000,34.89986,17389.65292,498.27290
1670802920.03934,1281.00000,35.79106,19114.83727,534.06736
1670802932.05246,1258.00000,35.46830,19607.41638,552.81530
1670802944.06557,1320.00000,36.33180,21838.11458,601.07432
1670802956.07869,1342.00000,36.63332,21095.39501,575.85270
1670802968.09180,1360.00000,36.87818,21421.07029,580.86032
1670802980.10492,1221.00000,34.94281,19785.21379,566.21701
1670802992.11803,1175.00000,34.27827,18583.61965,542.13990
1670803004.13115,1252.00000,35.38361,18243.20676,515.58351
1670803016.14426,1248.00000,35.32704,18462.18251,522.60763
1670803028.15738,1193.00000,34.53983,16595.64741,480.47852
1670803040.17049,1152.00000,33.94113,16502.63435,486.21353
1670803052.18361,1090.00000,33.01515,15961.39994,483.45686
1670803064.19672,1105.00000,33.24154,16730.13796,503.29009
1670803076.20984,1178.00000,34.32200,16547.08074,482.11289
1670803088.22295,1176.00000,34.29286,16292.67867,475.10416
1670803100.23607,1118.00000,33.43651,15726.45150,470.33775
1670803112.24918,1099.00000,33.15117,15616.45979,471.06815
1670803124.26230,1130.00000,33.61547,15792.62969,469.80240
1670803136.27541,1157.00000,34.01470,15613.43769,459.02026
1670803148.28853,1142.00000,33.79349,15848.72001,468.98736
1670803160.30164,1057.00000,32.51154,14940.65521,459.54934
1670803172.31475,1157.00000,34.01470,16299.34236,479.18521
1670803184.32787,1158.00000,34.02940,16267.32268,478.03732
1670803196.34098,1140.00000,33.76389,15996.28840,473.76917
1670803208.35410,1151.00000,33.92639,16556.09711,488.00054
1670803220.36721,1200.00000,34.64102,16465.67025,475.32296
1670803232.38033,1139.00000,33.74907,15755.78973,466.85102
1670803244.39344,1133.00000,33.66007,14760.48652,438.51628
1670803256.40656,1163.00000,34.10279,15651.28240,458.94440
1670803268.41967,1080.00000,32.86335,15152.86639,461.08704
1670803280.43279,1131.00000,33.63034,15020.32280,446.63007
1670803292.44590,1077.00000,32.81768,14312.82596,436.13158
1670803304.45902,1103.00000,33.21144,15109.08427,454.93609
1670803316.47213,1021.00000,31.95309,14136.79306,442.42334
1670803328.48525,1157.00000,34.01470,15071.18920,443.07867
1670803340.49836,1089.00000,33.00000,14475.68327,438.65707
1670803352.51148,1103.00000,33.21144,14636.86659,440.71756
1670803364.52459,1041.00000,32.26453,14059.36528,435.75296
1670803376.53770,1084.00000,32.92416,14460.56586,439.20841
1670803388.55082,1074.00000,32.77194,14461.50367,441.27702
1670803400.56393,1148.00000,33.88215,15176.59082,447.92292
1670803412.57705,1093.00000,33.06055,14629.11482,442.49459
1670803424.59016,1044.00000,32.31099,13999.11123,433.26162
1670803436.60328,1053.00000,32.44996,13943.53585,429.69345
1670803448.61639,1054.00000,32.46537,13761.18788,423.87287
1670803460.62951,1100.00000,33.16625,14988.79329,451.92912
1670803472.64262,1050.00000,32.40370,14470.17778,446.55938
1670803484.65574,1047.00000,32.35738,14354.33254,443.61851
1670803496.66885,1129.00000,33.60060,15113.75934,449.80630
1670803508.68197,1087.00000,32.96968,14485.34386,439.35345
1670803520.69508,1106.00000,33.25658,14959.06670,449.80775
1670803532.70820,1019.00000,31.92178,13786.01417,431.86860
1670803544.72131,1103.00000,33.21144,14950.33147,450.15602
1670803556.73443,1110.00000,33.31666,14772.81580,443.40623
1670803568.74754,1130.00000,33.61547,15005.65891,446.39143
1670803580.76066,1147.00000,33.86739,15522.47382,458.33099
1670803592.77377,1083.00000,32.90897,14440.92755,438.81439
1670803604.78689,1063.00000,32.60368,14677.47639,450.17851
1670803616.80000,1062.00000,32.58834,14287.12634,438.41220
1670803628.81311,1132.00000,33.64521,15082.70731,448.28694
1670803640.82623,1156.00000,34.00000,16092.42486,473.30661
1670803652.83934,1074.00000,32.77194,14858.33603,453.38593
1670803664.85246,1193.00000,34.53983,16022.26500,463.87791
1670803676.86557,1103.00000,33.21144,15531.29422,467.64887
1670803688.87869,1247.00000,35.31289,18252.87142,516.88981
1670803700.89180,1217.00000,34.88553,17873.94090,512.35978
1670803712.90492,1175.00000,34.27827,17529.03762,511.37458
1670803724.91803,1171.00000,34.21988,17754.44650,518.83431
1670803736.93115,1174.00000,34.26368,18669.22437,544.86916
1670803748.94426,1179.00000,34.33657,19148.31285,557.66529
1670803760.95738,1161.00000,34.07345,19133.10055,561.52519
1670803772.97049,1112.00000,33.34666,18648.68478,559.23689
1670803784.98361,1071.00000,32.72614,18270.33470,558.27961
1670803796.99672,1132.00000,33.64521,19254.44726,572.27904
1670803809.00984,1126.00000,33.55592,19591.52552,583.84701
1670803821.02295,1091.00000,33.03029,19608.55902,593.65387
1670803833.03607,1102.00000,33.19639,20322.28281,612.18360
1670803845.04918,1074.00000,32.77194,19607.27335,598.29457
1670803857.06229,1052.00000,32.43455,19636.79626,605.42836
1670803869.07541,1104.00000,33.22650,21095.14834,634.88936
1670803881.08853,1052.00000,32.43455,20248.19534,624.27861
1670803893.10164,1053.00000,32.44996,20859.73913,642.82785
1670803905.11475,1038.00000,32.21801,20290.87268,629.79912
1670803917.12787,1030.00000,32.09361,20594.56735,641.70299
1670803929.14098,965.00000,31.06445,19928.73603,641.52871
1670803941.15410,1012.00000,31.81195,20918.49814,657.56736
1670803953.16721,962.00000,31.01612,19740.22774,636.45049
1670803965.18033,948.00000,30.78961,21256.84788,690.39032
1670803977.19344,905.00000,30.08322,20311.77587,675.18628
1670803989.20656,942.00000,30.69202,21411.59064,697.62732
1670804001.21967,884.00000,29.73214,20080.43344,675.37806
1670804013.23279,956.00000,30.91925,22296.94352,721.13469
1670804025.24590,908.00000,30.13304,21323.39041,707.64156
1670804037.25902,875.00000,29.58040,20611.32429,696.78994
1670804049.27213,878.00000,29.63106,21212.13397,715.87485
1670804061.28525,869.00000,29.47881,20845.83083,707.14638
1670804073.29836,834.00000,28.87906,20351.91341,704.72913
1670804085.31148,842.00000,29.01724,20894.86128,720.08447
1670804097.32459,760.00000,27.56810,19132.96912,694.02573
1670804109.33770,763.00000,27.62245,19130.54160,692.57211
1670804121.35082,763.00000,27.62245,19249.04828,696.86234
1670804133.36393,671.00000,25.90367,17361.56009,670.23559
1670804145.37705,736.00000,27.12932,18779.39172,692.21756
1670804157.39016,732.00000,27.05550,18594.83615,687.28492
1670804169.40328,660.00000,25.69047,17935.22897,698.12784
1670804181.41639,687.00000,26.21068,18936.18084,722.46036
1670804193.42951,689.00000,26.24881,18610.82025,709.01578
1670804205.44262,707.00000,26.58947,19536.36686,734.74070
1670804217.45574,696.00000,26.38181,19350.28479,733.47065
1670804229.46885,669.00000,25.86503,18567.91746,717.87716
1670804241.48197,660.00000,25.69047,17915.62788,697.36487
1670804253.49508,609.00000,24.67793,17326.65272,702.11140
1670804265.50820,619.00000,24.87971,16498.67734,663.13783
1670804277.52131,643.00000,25.35744,18412.46648,726.11680
1670804289.53443,618.00000,24.85961,17386.51090,699.38804
1670804301.54754,596.00000,24.41311,16701.23267,684.10915
1670804313.56066,610.00000,24.69818,17432.35463,705.81541
1670804325.57377,588.00000,24.24871,17239.08716,710.92797
1670804337.58688,555.00000,23.55844,16298.58674,691.83648
1670804349.60000,541.00000,23.25941,15924.16262,684.63322
1670804361.61312,559.00000,23.64318,16636.43136,703.64607
1670804373.62623,496.00000,22.27106,14680.70614,659.18317
1670804385.63934,567.00000,23.81176,16776.94890,704.56563
1670804397.65246,503.00000,22.42766,15116.28581,674.00187
1670804409.66557,473.00000,21.74856,14798.88118,680.45328
1670804421.67869,492.00000,22.18107,15230.54253,686.64589
1670804433.69180,498.00000,22.31591,15384.06452,689.37641
1670804445.70492,444.00000,21.07131,13841.95946,656.91032
1670804457.71803,485.00000,22.02272,14384.51227,653.16706
1670804469.73115,495.00000,22.24860,14760.77396,663.44745
1670804481.74426,468.00000,21.63331,14120.20571,652.70674
1670804493.75738,450.00000,21.21320,13568.89419,639.64381
1670804505.77049,473.00000,21.74856,14678.40851,674.91394
1670804517.78361,424.00000,20.59126,13393.79076,650.45998
1670804529.79672,444.00000,21.07131,14102.22134,669.26181
1670804541.80984,385.00000,19.62142,12588.44301,641.56646
1670804553.82295,430.00000,20.73644,13924.82043,671.51447
1670804565.83607,459.00000,21.42429,14487.33385,676.21084
1670804577.84918,397.00000,19.92486,12224.86581,613.54843
1670804589.86229,434.00000,20.83267,13066.76848,627.22496
1670804601.87541,428.00000,20.68816,14013.84928,677.38497
1670804613.88853,410.00000,20.24846,12909.46197,637.55288
1670804625.90164,400.00000,20.00000,12105.56717,605.27836
1670804637.91475,380.00000,19.49359,11557.98989,592.91237
1670804649.92787,396.00000,19.89975,12614.68158,633.91160
1670804661.94098,420.00000,20.49390,13221.39321,645.13793
1670804673.95410,430.00000,20.73644,13049.24317,629.29039
1670804685.96721,458.00000,21.40093,13545.20977,632.92609
1670804697.98033,452.00000,21.26029,13664.95256,642.74530
1670804709.99344,488.00000,22.09072,15417.49840,697.91736
1670804722.00656,447.00000,21.14237,14212.77217,672.24106
1670804734.01967,511.00000,22.60531,16434.84530,727.03475
1670804746.03279,563.00000,23.72762,18328.17964,772.44068
