unix_time,counts,counts_err,count_rates,count_rates_err
1670791303.00000,141.00000,11.87434,3065.86759,258.19263
1670791315.02662,169.00000,13.00000,3749.46941,288.42072
1670791327.05323,131.00000,11.44552,2929.73771,255.97237
1670791339.07985,144.00000,12.00000,3292.72742,274.39395
1670791351.10646,133.00000,11.53256,3106.26940,269.34772
1670791363.13308,142.00000,11.91638,3321.70468,278.75126
1670791375.15970,133.00000,11.53256,3061.79729,265.49150
1670791387.18631,164.00000,12.80625,3659.79366,285.78187
1670791399.21293,135.00000,11.61895,3139.94314,270.24328
1670791411.23954,123.00000,11.09054,2798.29387,252.31366
1670791423.26616,143.00000,11.95826,3227.63167,269.90812
1670791435.29278,159.00000,12.60952,3641.10900,288.75873
1670791447.31939,121.00000,11.00000,2793.40111,253.94556
1670791459.34601,136.00000,11.66190,3102.38048,266.02693
1670791471.37262,110.00000,10.48809,2498.59346,238.23154
1670791483.39924,135.00000,11.61895,3099.46556,266.75952
1670791495.42586,127.00000,11.26943,2945.51861,261.37251
1670791507.45247,113.00000,10.63015,2614.04275,245.90846
1670791519.47909,113.00000,10.63015,2527.31443,237.74974
1670791531.50570,131.00000,11.44552,2974.44383,259.87836
1670791543.53232,143.00000,11.95826,3308.32765,276.65626
1670791555.55893,99.00000,9.94987,2318.91575,233.05980
1670791567.58555,130.00000,11.40175,2978.53788,261.23505
1670791579.61217,115.00000,10.72381,2661.52212,248.18822
1670791591.63878,113.00000,10.63015,2591.87913,243.82348
1670791603.66540,137.00000,11.70470,3199.65697,273.36514
1670791615.69201,120.00000,10.95445,2803.68737,255.94047
1670791627.71863,80.00000,8.94427,1850.77408,206.92283
1670791639.74525,95.00000,9.74679,2207.99243,226.53524
1670791651.77186,119.00000,10.90871,2764.73075,253.44245
1670791663.79848,93.00000,9.64365,2190.99335,227.19543
1670791675.82509,104.00000,10.19804,2452.95643,240.53217
1670791687.85171,118.00000,10.86278,2652.02869,244.13903
1670791699.87833,99.00000,9.94987,2315.67733,232.73433
1670791711.90494,87.00000,9.32738,2012.26252,215.73719
1670791723.93156,100.00000,10.00000,2295.38018,229.53802
1670791735.95817,113.00000,10.63015,2626.58385,247.08822
1670791747.98479,100.00000,10.00000,2337.45673,233.74567
1670791760.01141,97.00000,9.84886,2216.10032,225.01090
1670791772.03802,99.00000,9.94987,2288.44396,229.99727
1670791784.06464,90.00000,9.48683,2104.38457,221.82161
1670791796.09125,84.00000,9.16515,1977.17614,215.72760
1670791808.11787,90.00000,9.48683,2099.60387,221.31768
1670791820.14449,90.00000,9.48683,2071.32822,218.33717
1670791832.17110,105.00000,10.24695,2408.01372,234.99808
1670791844.19772,96.00000,9.79796,2217.12366,226.28424
1670791856.22433,101.00000,10.04988,2314.90831,230.34199
1670791868.25095,93.00000,9.64365,2129.53836,220.82284
1670791880.27757,102.00000,10.09950,2369.36644,234.60224
1670791892.30418,76.00000,8.71780,1757.99061,201.65535
1670791904.33080,88.00000,9.38083,2100.63459,223.92840
1670791916.35741,84.00000,9.16515,2047.08444,223.35522
1670791928.38403,85.00000,9.21954,1949.03140,211.40214
1670791940.41065,107.00000,10.34408,2504.32954,242.10267
1670791952.43726,84.00000,9.16515,1951.20586,212.89401
1670791964.46388,84.00000,9.16515,2003.56214,218.60655
1670791976.49049,67.00000,8.18535,1600.24505,195.50105
1670791988.51711,92.00000,9.59166,2273.32968,237.01100
1670792000.54373,79.00000,8.88819,1904.21629,214.24107
1670792012.57034,80.00000,8.94427,1928.92363,215.66022
1670792024.59696,64.00000,8.00000,1582.36240,197.79530
1670792036.62357,82.00000,9.05539,2026.02863,223.73743
1670792048.65019,82.00000,9.05539,2037.57201,225.01219
1670792060.67681,77.00000,8.77496,1910.55839,217.72834
1670792072.70342,83.00000,9.11043,2050.42335,225.06320
1670792084.73004,88.00000,9.38083,2236.20989,238.38078
1670792096.75665,65.00000,8.06226,1641.35048,203.58447
1670792108.78327,71.00000,8.42615,1798.38410,213.42893
1670792120.80989,80.00000,8.94427,2084.43387,233.04679
