unix_time,counts,counts_err,count_rates,count_rates_err
1670797092.00000,804.00000,28.35489,10393.60176,366.55407
1670797104.00000,725.00000,26.92582,9538.00590,354.23265
1670797116.00000,794.00000,28.17801,10245.67508,363.60540
1670797128.00000,733.00000,27.07397,9595.86854,354.43149
1670797140.00000,742.00000,27.23968,10028.20178,368.14687
1670797152.00000,786.00000,28.03569,10309.99235,367.74525
1670797164.00000,800.00000,28.28427,9965.86604,352.34657
1670797176.00000,783.00000,27.98214,10810.81463,386.34700
1670797188.00000,752.00000,27.42262,10298.01512,375.52997
1670797200.00000,744.00000,27.27636,9915.58354,363.52293
1670797212.00000,756.00000,27.49545,10053.29813,365.63492
1670797224.00000,743.00000,27.25803,9773.47749,358.55411
1670797236.00000,803.00000,28.33725,10364.56840,365.75768
1670797248.00000,761.00000,27.58623,10202.15824,369.82795
1670797260.00000,784.00000,28.00000,10213.64712,364.77311
1670797272.00000,751.00000,27.40438,9800.04778,357.60882
1670797284.00000,798.00000,28.24889,10499.80416,371.68904
1670797296.00000,699.00000,26.43861,9681.00902,366.16939
1670797308.00000,749.00000,27.36786,9777.15507,357.24947
1670797320.00000,773.00000,27.80288,10174.14383,365.93852
1670797332.00000,726.00000,26.94439,9940.94751,368.94317
1670797344.00000,727.00000,26.96294,9894.47165,366.96564
1670797356.00000,737.00000,27.14774,9826.01155,361.94579
1670797368.00000,748.00000,27.34959,9930.58157,363.09802
1670797380.00000,736.00000,27.12932,9849.78972,363.06807
1670797392.00000,763.00000,27.62245,10065.62207,364.39999
1670797404.00000,725.00000,26.92582,9556.86889,354.93320
1670797416.00000,772.00000,27.78489,9818.08618,353.36065
1670797428.00000,728.00000,26.98148,9554.90561,354.12836
1670797440.00000,711.00000,26.66458,9594.07316,359.80585
1670797452.00000,699.00000,26.43861,9299.70754,351.74724
1670797464.00000,732.00000,27.05550,9529.75287,352.22980
1670797476.00000,727.00000,26.96294,9656.20265,358.12873
1670797488.00000,753.00000,27.44085,9887.21991,360.31032
1670797500.00000,749.00000,27.36786,10043.08437,366.96632
1670797512.00000,734.00000,27.09243,9757.68440,360.16270
1670797524.00000,725.00000,26.92582,9274.13671,344.43279
1670797536.00000,830.00000,28.80972,10382.27035,360.37386
1670797548.00000,765.00000,27.65863,9586.14552,346.58782
1670797560.00000,724.00000,26.90725,9401.52298,349.40485
1670797572.00000,744.00000,27.27636,9656.98678,354.04231
1670797584.00000,756.00000,27.49545,9656.32790,351.19725
1670797596.00000,804.00000,28.35489,9890.06750,348.79579
1670797608.00000,773.00000,27.80288,9856.17854,354.50210
1670797620.00000,800.00000,28.28427,10458.46786,369.76268
1670797632.00000,825.00000,28.72281,10271.29839,357.60071
1670797644.00000,822.00000,28.67054,10396.93455,362.63474
1670797656.00000,743.00000,27.25803,9697.92418,355.78233
1670797668.00000,812.00000,28.49561,10725.54345,376.39279
1670797680.00000,816.00000,28.56571,9926.26571,347.48880
1670797692.00000,799.00000,28.26659,9845.54954,348.31050
1670797704.00000,858.00000,29.29164,10870.73898,371.12091
1670797716.00000,841.00000,29.00000,10606.04122,365.72556
1670797728.00000,887.00000,29.78255,10989.86308,369.00349
1670797740.00000,827.00000,28.75761,10443.60244,363.15964
1670797752.00000,814.00000,28.53069,10108.29285,354.29548
1670797764.00000,839.00000,28.96550,10175.54459,351.29881
1670797776.00000,920.00000,30.33150,11452.04555,377.56276
1670797788.00000,873.00000,29.54657,10832.62031,366.62865
1670797800.00000,938.00000,30.62679,11183.31309,365.14812
1670797812.00000,875.00000,29.58040,10328.93557,349.18175
1670797824.00000,890.00000,29.83287,10337.33878,346.50838
1670797836.00000,956.00000,30.91925,11293.55036,365.25952
1670797848.00000,886.00000,29.76575,10695.80703,359.33266
1670797860.00000,885.00000,29.74895,10513.23724,353.39860
1670797872.00000,921.00000,30.34798,10888.96388,358.80356
1670797884.00000,926.00000,30.43025,11071.33062,363.82650
1670797896.00000,889.00000,29.81610,10555.50097,354.02014
1670797908.00000,959.00000,30.96773,11024.09078,355.98646
1670797920.00000,1014.00000,31.84337,11356.83141,356.64669
1670797932.00000,997.00000,31.57531,11512.07693,364.59113
1670797944.00000,984.00000,31.36877,11390.67885,363.12158
1670797956.00000,994.00000,31.52777,12220.55441,387.61245
1670797968.00000,1007.00000,31.73326,12132.20920,382.31836
1670797980.00000,929.00000,30.47950,11271.75356,369.81424
1670797992.00000,1041.00000,32.26453,12393.44872,384.11990
1670798004.00000,1044.00000,32.31099,13069.43768,404.48894
1670798016.00000,1017.00000,31.89044,12339.85616,386.94534
1670798028.00000,1016.00000,31.87475,12258.72458,384.59040
1670798040.00000,1071.00000,32.72614,12708.96692,388.34303
1670798052.00000,1018.00000,31.90611,12708.10039,398.29674
1670798064.00000,1043.00000,32.29551,13151.94933,407.23770
1670798076.00000,1028.00000,32.06244,12782.62235,398.67904
1670798088.00000,1049.00000,32.38827,12570.14450,388.10794
1670798100.00000,1060.00000,32.55764,12944.49738,397.58708
1670798112.00000,1076.00000,32.80244,13426.55888,409.31587
1670798124.00000,1031.00000,32.10919,12661.27212,394.31928
1670798136.00000,1026.00000,32.03123,12671.90547,395.61090
1670798148.00000,1049.00000,32.38827,12652.17208,390.64057
1670798160.00000,1048.00000,32.37283,13003.05280,401.66564
1670798172.00000,1029.00000,32.07803,12466.33247,388.62525
1670798184.00000,1066.00000,32.64966,13082.61760,400.69696
1670798196.00000,1043.00000,32.29551,13045.82974,403.95180
1670798208.00000,1002.00000,31.65438,12434.99443,392.83641
1670798220.00000,1071.00000,32.72614,12853.55714,392.76122
1670798232.00000,1029.00000,32.07803,12141.29280,378.49247
1670798244.00000,1016.00000,31.87475,12750.80824,400.02843
1670798256.00000,1016.00000,31.87475,12558.34509,393.99033
1670798268.00000,1030.00000,32.09361,12539.21513,390.70749
1670798280.00000,1056.00000,32.49615,12597.89952,387.67356
1670798292.00000,1041.00000,32.26453,12915.99202,400.31550
1670798304.00000,1036.00000,32.18695,13075.06051,406.22236
1670798316.00000,1057.00000,32.51154,13181.17177,405.43060
1670798328.00000,1057.00000,32.51154,12977.69869,399.17211
1670798340.00000,1050.00000,32.40370,12358.63928,381.39589
1670798352.00000,1066.00000,32.64966,12528.93949,383.73880
1670798364.00000,1075.00000,32.78719,12781.25378,389.82459
1670798376.00000,1091.00000,33.03029,13174.63979,398.86541
1670798388.00000,1070.00000,32.71085,13225.91831,404.32812
1670798400.00000,1080.00000,32.86335,13194.50416,401.49598
1670798412.00000,1095.00000,33.09078,13321.01202,402.55957
1670798424.00000,1068.00000,32.68027,12583.12662,385.03742
1670798436.00000,1022.00000,31.96873,12619.79291,394.75422
1670798448.00000,1043.00000,32.29551,13060.31592,404.40035
1670798460.00000,976.00000,31.24100,12200.89857,390.54125
1670798472.00000,1053.00000,32.44996,12831.22189,395.41563
1670798484.00000,1010.00000,31.78050,12396.09206,390.05343
1670798496.00000,1018.00000,31.90611,12468.86787,390.79872
1670798508.00000,983.00000,31.35283,12282.28961,391.74420
1670798520.00000,966.00000,31.08054,11828.24175,380.56744
1670798532.00000,1008.00000,31.74902,12004.52078,378.10686
1670798544.00000,1028.00000,32.06244,12226.36864,381.32996
1670798556.00000,1031.00000,32.10919,12054.11186,375.41004
1670798568.00000,990.00000,31.46427,12273.22077,390.06856
1670798580.00000,1018.00000,31.90611,11982.07594,375.54171
1670798592.00000,1072.00000,32.74141,13240.36415,404.39198
1670798604.00000,1034.00000,32.15587,12957.42709,402.95681
1670798616.00000,1095.00000,33.09078,13107.39285,396.10403
1670798628.00000,1068.00000,32.68027,13396.38772,409.92281
1670798640.00000,980.00000,31.30495,12341.72045,394.24180
1670798652.00000,1073.00000,32.75668,13635.97143,416.28065
1670798664.00000,995.00000,31.54362,12385.81893,392.65686
1670798676.00000,998.00000,31.59114,12475.94603,394.91917
1670798688.00000,964.00000,31.04835,12261.45856,394.91499
1670798700.00000,1000.00000,31.62278,11971.93561,378.58585
1670798712.00000,1025.00000,32.01562,11912.14235,372.07282
1670798724.00000,924.00000,30.39737,11187.06389,368.02738
1670798736.00000,955.00000,30.90307,12211.98250,395.17047
1670798748.00000,901.00000,30.01666,11020.67505,367.15192
1670798760.00000,1014.00000,31.84337,12324.60150,387.03827
1670798772.00000,960.00000,30.98387,11624.40810,375.17616
1670798784.00000,963.00000,31.03224,11688.85259,376.66801
1670798796.00000,900.00000,30.00000,11393.89093,379.79636
1670798808.00000,962.00000,31.01612,11696.37003,377.10611
1670798820.00000,982.00000,31.33688,11938.09915,380.96005
1670798832.00000,946.00000,30.75711,11665.33953,379.27290
