unix_time,counts,counts_err,count_rates,count_rates_err
1670791303.00000,1043.00000,32.29551,22678.72269,702.22524
1670791315.02662,1014.00000,31.84337,22496.81648,706.48361
1670791327.05323,982.00000,31.33688,21961.85059,700.83081
1670791339.07985,990.00000,31.46427,22637.50102,719.46701
1670791351.10646,1083.00000,32.90897,25293.90798,768.60235
1670791363.13308,1025.00000,32.01562,23977.09365,748.91858
1670791375.15970,1047.00000,32.35738,24103.02074,744.90027
1670791387.18631,1021.00000,31.95309,22784.44710,713.05926
1670791399.21293,1112.00000,33.34666,25863.82796,775.60466
1670791411.23954,1045.00000,32.32646,23774.12269,735.43849
1670791423.26616,1014.00000,31.84337,22886.84274,718.73188
1670791435.29278,1014.00000,31.84337,23220.65737,729.21490
1670791447.31939,1023.00000,31.98437,23616.93664,738.38990
1670791459.34601,1078.00000,32.83291,24590.92761,748.97191
1670791471.37262,1049.00000,32.38827,23827.49583,735.68289
1670791483.39924,1041.00000,32.26453,23900.32330,740.76151
1670791495.42586,1009.00000,31.76476,23401.79743,736.72199
1670791507.45247,1110.00000,33.31666,25677.76503,770.71841
1670791519.47909,1021.00000,31.95309,22835.29232,714.65050
1670791531.50570,1039.00000,32.23352,23591.19954,731.88400
1670791543.53232,1043.00000,32.29551,24129.97022,747.16175
1670791555.55893,1066.00000,32.64966,24969.33521,764.76566
1670791567.58555,1113.00000,33.36165,25500.86659,764.37655
1670791579.61217,1087.00000,32.96968,25157.16992,763.03948
1670791591.63878,1109.00000,33.30165,25437.11468,763.83943
1670791603.66540,1111.00000,33.33167,25947.58318,778.46642
1670791615.69201,1087.00000,32.96968,25396.73473,770.30570
1670791627.71863,1078.00000,32.83291,24939.18073,759.57874
1670791639.74525,1086.00000,32.95451,25240.83975,765.92966
1670791651.77186,1082.00000,32.89377,25138.14009,764.22196
1670791663.79848,1021.00000,31.95309,24053.80872,752.78504
1670791675.82509,1080.00000,32.86335,25473.00907,775.11898
1670791687.85171,1173.00000,34.24909,26362.96314,769.74206
1670791699.87833,1092.00000,33.04542,25542.62262,772.95492
1670791711.90494,1070.00000,32.71085,24748.51603,756.58421
1670791723.93156,1093.00000,33.06055,25088.50542,758.86533
1670791735.95817,1097.00000,33.12099,25498.78304,769.86777
1670791747.98479,1094.00000,33.07567,25571.77662,773.12949
1670791760.01141,1121.00000,33.48134,25610.80886,764.92788
1670791772.03802,1183.00000,34.39477,27345.74959,795.05553
1670791784.06464,1096.00000,33.10589,25626.72765,774.08362
1670791796.09125,1106.00000,33.25658,26032.81914,782.78706
1670791808.11787,1144.00000,33.82307,26688.29804,789.05607
1670791820.14449,1152.00000,33.94113,26513.00124,781.14679
1670791832.17110,1092.00000,33.04542,25043.34265,757.84602
1670791844.19772,1101.00000,33.18132,25427.63693,766.32385
1670791856.22433,1145.00000,33.83785,26243.26748,775.55957
1670791868.25095,1098.00000,33.13608,25142.29155,758.75871
1670791880.27757,1134.00000,33.67492,26341.77986,782.23742
1670791892.30418,1112.00000,33.34666,25722.17834,771.35687
1670791904.33080,1117.00000,33.42155,26663.73674,797.80072
1670791916.35741,1157.00000,34.01470,28196.15110,828.94010
1670791928.38403,1136.00000,33.70460,26048.23138,772.83908
1670791940.41065,1227.00000,35.02856,28717.87233,819.84165
1670791952.43726,1151.00000,33.92639,26736.16605,788.06396
1670791964.46388,1162.00000,34.08812,27715.94299,813.06749
1670791976.49049,1178.00000,34.32200,28135.65171,819.75549
1670791988.51711,1219.00000,34.91418,30121.61825,862.73307
1670792000.54373,1187.00000,34.45287,28611.45232,830.45202
1670792012.57034,1225.00000,35.00000,29536.64302,843.90409
1670792024.59696,1247.00000,35.31289,30831.34242,873.09039
1670792036.62357,1230.00000,35.07136,30390.42940,866.53135
1670792048.65019,1233.00000,35.11410,30638.12543,872.53057
1670792060.67681,1258.00000,35.46830,31214.05792,880.05520
1670792072.70342,1315.00000,36.26293,32485.62299,895.83561
1670792084.73004,1247.00000,35.31289,31688.11058,897.35258
1670792096.75665,1325.00000,36.40055,33458.29827,919.17014
1670792108.78327,1250.00000,35.35534,31661.69185,895.52788
1670792120.80989,1282.00000,35.80503,33403.05281,932.91515
1670792132.83650,1325.00000,36.40055,35682.31068,980.26846
1670792144.86312,1297.00000,36.01389,34421.52646,955.78484
1670792156.88973,1301.00000,36.06938,35672.11343,988.98611
1670792168.91635,1372.00000,37.04052,37372.26986,1008.95645
1670792180.94297,1365.00000,36.94591,36342.46526,983.66690
1670792192.96958,1354.00000,36.79674,37259.49623,1012.57604
1670792204.99620,1355.00000,36.81032,36179.88419,982.87327
1670792217.02281,1396.00000,37.36308,38579.22456,1032.54927
