unix_time,counts,counts_err,count_rates,count_rates_err
1662496421.00000,2562.00000,50.61620,139456.62318,2755.17749
1662496433.00673,2556.00000,50.55690,142053.14149,2809.76771
1662496445.01347,2601.00000,51.00000,144079.79742,2825.09407
1662496457.02020,2611.00000,51.09795,153453.65460,3003.12770
1662496469.02694,2619.00000,51.17617,157678.45902,3081.09166
1662496481.03367,2558.00000,50.57667,159605.01096,3155.70394
1662496493.04040,2568.00000,50.67544,162575.57960,3208.17316
1662496505.04714,2648.00000,51.45872,171546.07027,3333.66368
1662496517.05387,2649.00000,51.46844,171606.98824,3334.21799
1662496529.06061,2655.00000,51.52669,171418.60026,3326.79226
1662496541.06734,2649.00000,51.46844,178686.14091,3471.76156
1662496553.07407,2626.00000,51.24451,181032.45652,3532.71892
1662496565.08081,2618.00000,51.16640,189178.03411,3697.31018
1662496577.08754,2712.00000,52.07687,206165.57418,3958.87059
1662496589.09428,2666.00000,51.63332,203824.17896,3947.53173
1662496601.10101,2678.00000,51.74940,213289.66516,4121.58752
1662496613.10774,2643.00000,51.41012,210029.59518,4085.37488
1662496625.11448,2663.00000,51.60426,223434.04147,4329.75934
1662496637.12121,2630.00000,51.28353,221862.44122,4326.19323
1662496649.12795,2604.00000,51.02940,223988.84142,4389.40742
1662496661.13468,2568.00000,50.67544,227677.27374,4492.85262
1662496673.14141,2645.00000,51.42956,235301.83866,4575.22527
1662496685.14815,2683.00000,51.79768,240050.47310,4634.38628
1662496697.15488,2619.00000,51.17617,236214.08552,4615.70498
1662496709.16162,2611.00000,51.09795,241387.94829,4724.02457
1662496721.16835,2589.00000,50.88222,243471.98576,4785.01135
1662496733.17508,2575.00000,50.74446,246217.70323,4852.11024
1662496745.18182,2526.00000,50.25933,241368.76081,4802.46698
1662496757.18855,2548.00000,50.47772,247631.52538,4905.75913
1662496769.19529,2460.00000,49.59839,240446.20724,4847.86344
1662496781.20202,2452.00000,49.51767,249418.06917,5036.95047
1662496793.20875,2458.00000,49.57822,250444.19204,5051.49614
1662496805.21549,2428.00000,49.27474,246445.04972,5001.44800
1662496817.22222,2367.00000,48.65182,240649.12891,4946.35366
1662496829.22896,2366.00000,48.64155,240681.58919,4948.06619
1662496841.23569,2398.00000,48.96938,248640.02084,5077.45922
1662496853.24242,2346.00000,48.43552,239818.93125,4951.30249
1662496865.24916,2365.00000,48.63127,246022.60826,5058.93904
1662496877.25589,2314.00000,48.10405,234505.52227,4874.96382
