unix_time,counts,counts_err,count_rates,count_rates_err
1670634916.00000,2434.00000,49.33559,193550.52616,3923.14237
1670634928.01639,2400.00000,48.98979,193058.51909,3940.79052
1670634940.03279,2352.00000,48.49742,192106.71842,3961.17377
1670634952.04918,2342.00000,48.39421,187103.85479,3866.24427
1670634964.06557,2399.00000,48.97959,203007.06477,4144.72793
1670634976.08197,2429.00000,49.28489,210777.14242,4276.70954
1670634988.09836,2382.00000,48.80574,210391.63255,4310.79713
1670635000.11475,2396.00000,48.94895,208379.23742,4257.07241
1670635012.13115,2416.00000,49.15282,205261.03091,4175.97645
1670635024.14754,2345.00000,48.42520,208123.51031,4297.83481
1670635036.16393,2302.00000,47.97916,205579.86010,4284.77387
1670635048.18033,2305.00000,48.01042,214558.69070,4469.00299
1670635060.19672,2295.00000,47.90616,208338.50700,4348.88780
1670635072.21311,2372.00000,48.70318,215741.55329,4429.72187
1670635084.22951,2311.00000,48.07286,205561.92044,4276.04920
1670635096.24590,2280.00000,47.74935,205665.53656,4307.19069
1670635108.26230,2229.00000,47.21229,196892.88211,4170.37379
1670635120.27869,2266.00000,47.60252,205128.84838,4309.20137
1670635132.29508,2182.00000,46.71188,194477.22127,4163.33510
1670635144.31148,2141.00000,46.27094,184877.64153,3995.54530
1670635156.32787,2103.00000,45.85848,181760.47607,3963.50869
1670635168.34426,2048.00000,45.25483,168122.15864,3715.00995
1670635180.36066,2027.00000,45.02222,164310.50532,3649.54276
1670635192.37705,1975.00000,44.44097,159478.71978,3588.55156
1670635204.39344,2001.00000,44.73254,160089.24172,3578.80968
1670635216.40984,1978.00000,44.47471,157567.51825,3542.85641
1670635228.42623,1867.00000,43.20880,139289.79133,3223.64440
1670635240.44262,1858.00000,43.10452,138392.18345,3210.61852
1670635252.45902,1849.00000,43.00000,132303.33407,3076.82172
1670635264.47541,1781.00000,42.20190,118957.67257,2818.77557
1670635276.49180,1755.00000,41.89272,118920.28594,2838.68619
1670635288.50820,1688.00000,41.08528,110393.80960,2686.94328
1670635300.52459,1737.00000,41.67733,115374.29192,2768.27442
1670635312.54098,1779.00000,42.17819,117459.68998,2784.84403
1670635324.55738,1675.00000,40.92676,112322.13698,2744.46661
1670635336.57377,1699.00000,41.21893,108553.43276,2633.58216
1670635348.59016,1762.00000,41.97618,113812.22097,2711.35227
1670635360.60656,1778.00000,42.16634,121934.11371,2891.74070
1670635372.62295,1747.00000,41.79713,118836.95932,2843.18473
1670635384.63934,1704.00000,41.27953,112350.95582,2721.71080
1670635396.65574,1760.00000,41.95235,114634.95591,2732.50355
1670635408.67213,1793.00000,42.34383,121989.04319,2880.91656
1670635420.68852,1759.00000,41.94043,118893.62888,2834.82114
1670635432.70492,1741.00000,41.72529,119488.70980,2863.69978
1670635444.72131,1798.00000,42.40283,125197.94318,2952.58460
1670635456.73770,1781.00000,42.20190,130618.61724,3095.08886
