Morlet wavelet, w_0 = 6
Estimated AR1 coefficient: 0.97
GLOBAL PERIODICITIES: Period; Wavelet power/WN power; Peak power/RN power
0.19 min; 0.03; 1.04
1.69 min; 3.14; 2.37
2.19 min; 3.75; 1.71
4.78 min; 11.68; 1.27
7.38 min; 14.36; 0.79
14.75 min; 10.23; 0.26
19.98 min; 5.67; 0.12
29.51 min; 13.20; 0.24
