Morlet wavelet, w_0 = 6
Estimated AR1 coefficient: 0.85
GLOBAL PERIODICITIES: Period; Wavelet power/WN power; Peak power/RN power
0.56 min; 0.07; 0.76
0.86 min; 0.11; 0.62
4.48 min; 5.40; 1.76
6.61 min; 3.59; 0.69
13.22 min; 0.62; 0.07
34.30 min; 0.26; 0.02
50.65 min; 0.24; 0.02
101.30 min; 0.57; 0.04
